directory,scl_file,notes,period,just,limit,description,tones,reference
xenharmonikon,xen18-schulter-archytan-1-3-17.scl,17,1200.0,False,0,1/3-Archytan temperament,44.784843 177.30122 222.086063 266.870906 399.387283 444.172126 488.956969 533.741811 666.258189 711.043031 755.827874 888.344252 933.129094 977.913937 1110.430315 1155.215157 1200.0,"Margo Schulter, George Secor's 17-Tone Well-Temperament and Neo-Medieval Music, Xenharmonikon 18 (2006), p.88"
xenharmonikon,xen18-schulter-archytan-1-4-17.scl,17,1200.0,False,0,1/4-Archytan temperament,56.144881 161.397167 217.542048 273.686929 378.939214 435.084095 491.228976 547.373857 652.626143 708.771024 764.915905 870.168191 926.313071 982.457952 1087.710238 1143.855119 1200.0,"Margo Schulter, George Secor's 17-Tone Well-Temperament and Neo-Medieval Music, Xenharmonikon 18 (2006), p.88"
xenharmonikon,xen18-schulter-archytan-1-5-17.scl,17,1200.0,False,0,1/5-Archytan temperament,62.960904 151.854735 214.815638 277.776542 366.670373 429.631277 492.592181 555.553085 644.446915 707.407819 770.368723 859.262554 922.223458 985.184362 1074.078192 1137.039096 1200.0,"Margo Schulter, George Secor's 17-Tone Well-Temperament and Neo-Medieval Music, Xenharmonikon 18 (2006), p.88"
xenharmonikon,xen18-schulter-archytan-5-26-17.scl,17,1200.0,False,0,5/26-Archytan temperament,64.009523 150.386668 214.396191 278.405714 364.782859 428.792382 492.801905 556.811427 643.188573 707.198095 771.207618 857.584764 921.594286 985.603809 1071.980954 1135.990477 1200.0,"Margo Schulter, George Secor's 17-Tone Well-Temperament and Neo-Medieval Music, Xenharmonikon 18 (2006), p.89"
xenharmonikon,xen18-schulter-circulating.scl,17,1200.0,False,0,17-note circulating temperament,70.1 130.639 208.754 286.869 343.787 417.508 495.623 561.329 626.262 704.377 778.871 853.016 913.131 991.247 1052.558 1121.885 1200.0,"Margo Schulter, George Secor's 17-Tone Well-Temperament and Neo-Medieval Music, Xenharmonikon 18 (2006), p.123"
xenharmonikon,xen18-schulter-didymic-1-4-17.scl,17,1200.0,False,0,1/4-Didymic temperament,76.048999 117.107858 193.156857 269.205856 310.264715 386.313714 503.421572 579.470571 620.529429 696.578428 772.627428 813.686286 889.735285 965.784285 1006.843143 1082.892142 1200.0,"Margo Schulter, George Secor's 17-Tone Well-Temperament and Neo-Medieval Music, Xenharmonikon 18 (2006), p.89"
xenharmonikon,xen18-schulter-pure-11-14-17.scl,17,1200.0,False,0,"Temperament with pure 11:14 major thirds, fifth of 704.377 cents",78.115 130.639 208.754 286.869 339.393 417.508 495.623 573.738 626.262 704.377 782.492 835.016 913.131 991.246 1043.77 1121.885 1200.0,"Margo Schulter, George Secor's 17-Tone Well-Temperament and Neo-Medieval Music, Xenharmonikon 18 (2006), p.85"
xenharmonikon,xen18-secor-17-wt.scl,17,1200.0,False,0,Secor 17-tone Well Temperament,66.741 144.856 214.441 278.339 353.61 428.882 492.78 562.364 640.479 707.22 771.118 849.233 921.661 985.559 1057.987 1136.102 1200.0,"George Secor, The 17-tone Puzzle - And the Neo-medieval Key that Unlocks It, Xenharmonikon 18 (2006), p.79"
xenharmonikon,xen18-erlich-helmholtz-17.scl,17,1200.07,False,0,"12L 5s MOS for Helmholtz, L=91.26, s=20.99",91.26 112.25 203.51 294.77 386.03 407.02 498.28 589.54 610.53 701.79 793.05 814.04 905.30 996.56 1087.82 1108.81 1200.07,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.188"
mailing-lists,diam7pluswoo.scl,17,1200.64322,False,0,Contains 7-limit diamond; in [10/3 7/2 11] marvel woo tuning,116.23027 200.69746 232.46054 267.51234 316.92773 383.74261 499.97288 584.44007 616.20315 700.67034 816.90061 883.71549 933.13088 968.18268 999.94576 1084.41295 1200.64322,https://yahootuninggroupsultimatebackup.github.io/tuning/topicId_106400.html#106400
xenharmonikon,xen18-erlich-garibaldi-17.scl,17,1200.76,False,0,"12L 5s MOS for Garibaldi, L=89.08, s=26.36",89.08 115.44 204.52 293.60 382.68 409.04 498.12 587.20 613.56 702.64 791.72 818.08 907.16 996.24 1085.32 1111.68 1200.76,"Paul Erlich, A Middle Path Between Just Intonation and the Equal Temperaments Part 1, Xenharmonikon 18 (2006), p.187"
